,text,Song,Album,Text_lenght,Year
0,"Eminem]
Peace to Thirstin Howl, A.L. and Wordsworth
My mother smoked crack, I had a premature birth
I'm just a nerd cursed, wit badly disturbed nerves
Who wanna be the one to step up and get served first?
Ninety-nine percent of aliens prefer earth
So I'm here to rule the planet, startin wit your turf
I hid a secret message inside of a wordsearch
Wit smeard letters, runnin together in blurred spurts
I hang wit male chauvinist pigs and perverts
Who point water pistols at women and squirt shirts
Been a bad boy since diapers and Gerber's
My first words were ""Bleep bleep"" and ""Curse curse""
Never had ish, and I still don't deserve dirt
My breath still stinks and I'm on my third Certs
Yankin out my stitches, hollering ""Nurse nurse!""
""You said this shot would numb it, trick it just hurts worse!""
Grew up in a dump next door to a burnt church
But gunshots drowned out crickets and bird chirps
And it's like that, and it's like that

Evidence]
Got no apathy
Yo I Platform my strategy, mix words in alchemy
Evidence, I won't get caught shot on the balcony
Between you and I, I'll tell you here's the diff
Gun to your head, you're dead, pointblank I shapeshift
That's right, to dear/deer, anelope, or owl
In life, use your potential, or Steve Howe
I'm about to call it quits, yo too much weight'll break your rack mount
The man'll make you move, yo so make your move a backout
You say I use my name too much as a clutch
Try holdin on to beat instead of pushin on your crutch
Flipped it backwards, Evidence attack nerds off the head
Steadfast, right or left, don't matter see you comin 
Deaf/Def like Leppards, pop the piece, I be the sheppard
Causin the herd, the name is Ev absurd
Verbs get flipped, it's like this, yo acronyms and all that
Methaphor imagery, you claimin metaphors and spittin similies
Not havin It, the name is Evidence
Like Pos. K gibbin the life thinkin of stabbin it
Skills prevail you possess, take no offense
But don't profess lies within your mind, tempt and stress

Iriscience]
It's like uh-oh-oh
It's Dilated Peoples on the Wake Up Show-uh-oh
We kick a lick or some for the radio-uh-oh
Yo CaTashTrophic like Rico *fades out*</p>
]",eminem and dilated peoples freestyle,Miscellaneous,2156,
1,"
I reckon you ain't familiar with these here parts
You know, there's a story behind that there saloon
Twenty years ago, two outlaws took this whole town over
Sheriffs couldn't stop 'em, quickest damn gun slinger I've ever seen
Got murdered in cold blood, that ol' saloon there was their lil' home
Away from home, they say the ghosts of bad and evil still live
In that tavern and on a quiet night, you can still hear the footsteps of Slim Shady and Royce Da Five-Nine

I don't speak, I float in the air wrapped in a sheet
I'm not a real person, I'm a ghost trapped in a beat
I translate when my voice is read through a seismograph
And a noise is bred, picked up and transmitted through Royce's head
Trapped him in his room, possessed him and hoist his bed
Till the evilness flows through his blood like poisonous lead
Told him each one of his boys is dead
I asked him to come to the dark side, he made a choice and said

Who hard? yo I done heard worse
We can get in two cars and accelerate at each other
To see which one'll swerve first
Two blind bandits panic, whose mental capacity holds
That of a globe on top of nine other planets
Kissed the cheek of the devil, intelligence level is hellier than
Treble peakin' on speakers in the ghetto

Dismissal, I'm not a fair man, disgraced the race of a atheist
Intercepting missiles wit my bare hands like a patriot
One track sliced without swords, I buried the Christ corpse
In my past life when the black knight mounted the white horse
And stay over-worked, its like the Nazis in the nations
Collaborating, attemptin' to take over the earth

'Cuz this is what happens when bad meets evil
We hit the trees till we look like Vietnamese people
He's evil, and I'm bad like Steve Segal
Above the law 'cuz I don't agree wit police either
We ain't eager to be legal
So please leave me with the keys to your jeep eagle

I breathe ether in three amounts
When I stab myself in the knee with a diseased needle
Releasin' rage on anybody in squeezing range
Cold enough to make the seasons change into freezing rain
He's insane, no I'm not, I just want to shoot up
And I'm pissed off 'cuz I can't find a decent vain

The disaster wit dreads
I'm bad enough to commit suicide and survive long enough
To kill my soul after I'm dead
When in danger it's funny actually my flavor's similar to a waiter
'Cuz I serve any stranger with money
I spray a hundred, man until they joint chains
While slippin' bullets at point blank range like they was punches
Piss on a flag and burn it, murder you then come to your funeral

Serve this lobbyist, strangle your body then confirm you
Whippin' human ass, throwin' blows crackin' jaws
Wit my fists wrapped in gauze, dipped in glue and glass
I'm blazin' MC's, at the same time amazin' MC's
Somehow MC's ain't that eye-brow raisin' to me
From all of angles of us, flash a mack loud enough
To cast a avalanche and bust till volcanoes erupt

Hello? Billy, aiyyo what's up
We're comin' to get you
Stop, they know it's us

I used to be a loudmouth, remember me?
I'm the one who burned your house down
Well I'm out now, and this time
I'm comin' back to blow your house up
And I ain't gone leave you a window to jump out of
Give me two fat tabs and three shrooms
And you won't see me like fat people in steam rooms
And when I go to hell and I'm gettin ready to leave
I'ma put air in a bag and charge people to breathe

'Cuz this is what happens when bad meets evil
And we hit the trees till we look like Vietnamese people
He's Evil, and I'm Bad like Steve Segal
Against peaceful, see you in hell for the sequel
We'll be waitin', See you in hell
Wall Street, Royce Da Five-Nine, Slim Shady
See you in hell for the sequel, bye bye
Bad meets evil, what? Till next time

{And so that's the story when bad meets evil
Two of the most wanted individuals in the county
Made Jesse James and Billy the Kid look like law-abiding citizens
It's too bad they had to go out the way they did
Got shot in the back comin' out of that ol' saloon
But their spirits still live on till this day
Wait, did y'all hear that?}</p>
]",bad meets evil,The Slim Shady LP,4064,
2,"
Lately I've been hard to reach
I've been too long on my own
Everybody has their private world
Where they can be alone

Are you calling me?
Are you trying to get through?
Are you reaching out for me?
I'm reaching out for you

I'm just so fucking depressed
I just can't seem to get out this slump
If I could just get over this hump
But I need something to pull me out this dump

I took my bruises, took my lumps
Fell down and I got right back up
But I need that spark to get psyched back up
And in order for me to pick the mic back up

I don't know how or why or when
I ended up this position I'm in
I'm starting to feel dissin' again
So I decided just to pick this pen

Up and try to make an attempt to vent
But I just can't admit
Or come to grips with the fact that I may be done with rap
I need a new outlet

And I know some shit's so hard to swallow
But I can't just sit back and wallow
In my own sorrow but I know one fact
I'll be one tough act to follow

One tough act to follow
I'll be one tough act to follow
Here today, gone tomorrow
But you'd have to walk a thousand miles

In my shoes, just to see
What it's like, to be me
I'll be you, let's trade shoes
Just to see what it'd be like

To feel your pain, you feel mine
Go inside each others' minds
Just to see what we'd find
Look at shit through each others' eyes

Don't let 'em say you ain't beautiful
They can all get fucked, just stay true to you
So don't let 'em say you ain't beautiful
They can all get fucked, just stay true to you

I think I'm starting to lose my sense of humor
Everything's so tense and gloom
I almost feel like I gotta check
The temperature of the room

Just as soon as I walk in, it's like all eyes on me
And so I try to avoid any eye contact
'Cause if I do that then it opens the door
For conversation, like I want that

I'm not looking for extra attention
I just wanna be just like you
Blend in with the rest of the room
Maybe just point me to the closest restroom

I don't need no fucking man servant
Trying to follow me around and wipe my ass
Laugh at every single joke I crack
And half of 'em ain't even funny like

Ha! Marshall you're so funny man
You should be a comedian, god damn!""
Unfortunately I am
I just hide behind the tears of a clown

So why don't you all sit down
Listen to the tale I'm about to tell
Hell, we don't gotta trade our shoes
And you ain't gotta walk no thousand miles

In my shoes, just to see
What it's like, to be me
I'll be you, let's trade shoes
Just to see what it'd be like

To feel your pain, you feel mine
Go inside each others minds
Just to see what we'd find
Look at shit through each others eyes

Don't let 'em say you ain't beautiful
They can all get fucked, just stay true to you
So don't let 'em say you ain't beautiful
They can all get fucked, just stay true to you

Nobody asked for life to deal us
With these bullshit hands we're dealt
We gotta take these cards ourselves
And flip 'em, don't expect no help

Now I could've either just sat on my ass
And pissed and moaned
Or take this situation in which I'm placed in
And get up and get my own

I was never the type of kid
To wait by the door and pack his bags
I sat on the porch and hoped and prayed
For a dad to show up who never did

I just wanted to fit in
Every single place, every school I went
I dreamed of being that cool kid
Even if it meant acting stupid

And Edna always told me
Keep making that face and it'll get stuck like that
Meanwhile I'm just standing there
Holding my tongue tryna talk like that

'Til I stuck my tongue on that frozen stop sign pole
At 8 years old
I learned my lesson then
'Cause I wasn't trying to impress my friends no more

But I already told you my whole life story
Not just based on my description
'Cause where you see it, from where you're sittin
It's probably 110% different

I guess we would have to walk a mile
In each others shoes at least
What size you wear? I wear 10's
Let's see if you can fit your feet

In my shoes, just to see
What it's like, to be me
I'll be you, let's trade shoes
Just to see what it'd be like

To feel your pain, you feel mine
Go inside each others minds
Just to see what we'd find
Look at shit through each others eyes

Don't let 'em say you ain't beautiful
They can all get fucked just stay true to you
So don't let 'em say you ain't beautiful
They can all get fucked just stay true to you

So don't let 'em say you ain't beautiful
They can all get fucked just stay true to you
So

Lately I've been hard to reach
I've been too long on my own
Everybody has their private world
Where they can be alone

Are you calling me?
Are you trying to get through?
Are you reaching out for me?
I'm reaching out for you

Yeah, to my babies
Stay strong, daddy will be home soon

And to the rest of the world
God gave you shoes to fit you
So put 'em on and wear 'em
Be yourself man, be proud of who you are
Even if it sounds corny
Don't ever let anyone tell you you ain't beautiful</p>
]",beautiful,Relapse,4927,2009.0
3,"
Eminem
Miscellaneous
B-Rabbit Vs. Papa Doc (Freestyle From 8 Mile)



Now everybody from the 313 
Put your mothefucking hands and follow me
Everybody from the 313 
Put your mothefucking hands up
Look Look

Now while he stands tough
Notice that this man did not had his hands up
The free world got you gased up
Now who's afraid of the big bad wolf

1, 2, 3 and to the 4
1 pac , 2 pac, 3 pac, 4
4 pac, 3 pac, 2 pac, 1
You're pac, he's pac, no pacs, none

This guy aint no mother-fuckin MC,
I know everything he's got to say against me,
I am white, I am a fuckin bum, I do live in a trailer with my mom,
My boy future is an uncle tom.
I do got a dumb friend named Cheddar Bob who shoots
himself in the leg with his own gun,
I did get jumped by all 6 of you chumps
And Wink did fuck my girl,
I'm still standin here screamin ""FUCK THE FREE WORLD!""
Don't ever try to judge me dude 
You don't know what the fuck i've been through

But i know something about you
You went to Crankbook, that's a private school
What's the matter dawg? You embarrased?
This is guy's a gangster, he's real name's Clarence

And Clarence lives at home with both parents
And Clarence's parents have a real good marriage
This guy don't wanna battle, He's shook
'Cause there no such things as half-way crooks
He's scared to death
He's scared to look in his fuckin yearbook, fuck Crankbook

Fuck the beat, i go acapella
Fuck a papa doc, fuck a clock, fuck a trailer, fuck everybody
Fuck y'all if you doubt me
I'm a piece of fucking white trash, i say it proudly 
And fuck this battle, I don't wanna win, I'm outty, 
Here, tell this people something they dont know about me.</p>
]",b rabbit vs papa doc freestyle from 8 mile,Miscellaneous,1646,
4,"
Eminem
Miscellaneous
Eminem Exclusive Freestyle



Yo! Turn that click off…

My music is theraputic
But its also provin
That it can put you in the mood to 
jump out your car while it's movin
You been waitin' on this moment
My sermon is like a omen
I'm servin' I'm Erick Sermon
I saw the window was open 
And I jumped through it
My shit if you don't get pumped to it
I quit, here's my rhyme book
Go ahead and thumb through it
And pick what you want from it
Rummage,and find something
you can use to jump someone
And roll up bumpin
I'm constantly copin' over you
Squattin', shit has gotten to the point
Where I ain't even writin' no more, I'm just jottin'
This is chicken scratch, shit is sickenin'
I've been kickin' ass off bullshit
Throwaway rhymes, pick a batch
I live for the love of rap, you crazy
Ive made beats for Jay-Z for free
Page me, you need a beat, you Cannabis
Then it's Dre's fee, you Kay Slay the fees waved
I stay beefin' with JD, till the day Dre 2-ways me
That it's okay to stop blazin' him
Oops! I put it out, I apologize now
It's too late G, it's on tape
And the tape leaped, ""Say What You Say"" mothafucka
Drama King, Kay Slay, mothafucka, We dictate these mixtapes mothafucka
Xzibit blaze little gay midget cocksucka</p>
]",eminem exclusive freestyle,Miscellaneous,1244,
5,"
My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Slim, I wrote you but you still ain't callin'
I left my cell, my pager
And my home phone at the bottom
I sent two letters back in autumn
You must not have got 'em
It probably was a problem
At the post office or somethin'

Sometimes I scribble addresses
Too sloppy when I jot 'em
But anyways fuck it
What's been up man, how's your daughter?
My girlfriend's pregnant too
I'm out to be a father
If I have a daughter, guess what I'm a call her?
I'm a name her Bonnie

I read about your Uncle Ronnie too, I'm sorry
I had a friend kill himself over some bitch
Who didn't want him
I know you probably hear this everyday
But I'm your biggest fan
I even got the underground shit that you did with scam

I got a room full of your posters
And your pictures man
I like the shit you did with Ruckus too
That shit was fat
Anyways I hope you get this, man
Hit me back just to chat
Truly yours, your biggest fan
This is Stan

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Slim, you still ain't called or wrote
I hope you have the chance, I ain't mad
I just think it's fucked up, you don't answer fans
If you didn't want to talk to me
Outside the concert you didn't have to
But you could've signed an autograph for Matthew
That's my little brother man

He's only 6 years old
We waited in the blistering cold for you
For 4 hours and you just said ""No""
That's pretty shitty man
You're like his fuckin' idol
He wants to be just like you man
He likes you more than I do

I ain't that mad though I just don't like bein' lied to
Remember when we met in Denver
You said if I write to you, you would write back
See I'm just like you in a way
I never knew my father neither
He used to always cheat on my mom and beat her

I can relate to what you're sayin' in your songs
So when I have a shitty day
I drift away and put 'em on
Cause I don't really got shit else
So that shit helps when I'm depressed
I even got a tattoo
With your name across the chest

Sometimes I even cut myself
To see how much it bleeds?
It's like Adrenaline
The pain is such a sudden rush for me
See everything you say is real
And I respect you 'cause you tell it
My girlfriend's jealous
'Cause I talk about you 24/7

But she don't know you like
I know you Slim, no one does
She don't know what it was like?
For people like us growing up
You've gotta call me man
I'll be the biggest fan you'll ever lose
Sincerely yours, Stan
P.S. We should be together too

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Mister, I'm too good to call or write my fans
This'll be the last package I ever send your ass
It's been six months and still no word
I don't deserve it?
I know you got my last two letters
I wrote the addresses on 'em perfect

So this is my cassette I'm sending you
I hope you hear it
I'm in the car right now
I'm doing 90 on the freeway
Hey Slim, I drink a fifth of vodka
Ya dare me to drive?

You know this song by Phil Collins
'From the air in the night'
About that guy who could have saved
That other guy from drowning?
But didn't, then Phil saw it all
Then at his show he found him

That's kinda how this is
You could have rescued me from drowning
Now it's too late
I'm on a thousand downers, now I'm drowsy

And all I wanted was a lousy letter or a call
I hope you know
I ripped all  your pictures off the wall
I loved you Slim, we could have been together
Think about it, you ruined it now

I hope you can't sleep and you dream about it
And when you dream, I hope you can't sleep
And you scream about it
I hope your conscious eats at you
And you can't breathe without me

See Slim, ""Shut up bitch!
I'm trying to talk""
Hey Slim, that's my girlfriend screaming in the trunk
But I didn't slit her throat I just tied her up
See I ain't like you
'Cause if she suffocates she'll suffer more
And then she'll die too

Well gotta go
I'm almost at the bridge now
Oh shit! I forgot!
How am I supposed to send this shit out?

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Stan, I meant to write you sooner
But I've just been busy
You said your girlfriend's pregnant now
How far along is she?
Look I'm really flattered
You would call your daughter that
And here's an autograph for your brother
I wrote it on your starter cap

I'm sorry I didn't see you at the show
I must have missed you
Don't think I did that shit intentionally
Just to diss you
And what's this shit you said about
You like to cut your wrist too?
I say that shit just clownin' dawg
C'mon, how fucked up is you?

You got some issues Stan
I think you need some counselin''
To help your ass from bouncin' off the walls
When you get down some
And what's this shit about us
Meant to be together?
That type of shit'll make me not want us
To meet each other

I really think you and your girlfriend
Need each other
Or maybe you just need to treat her better
I hope you get to read this letter
I just hope it reaches you in time
Before you hurt yourself
I think that you'll be doin' just fine
If you'd relax a little

I'm glad I inspire you
But Stan, why are you so mad?
Try to understand
That I do want you as a fan
I just don't want you to do some crazy shit
I seen this one shit on the news
A couple weeks ago that made me sick

Some dude was drunk and drove his car over a bridge
And had his girlfriend in the trunk
And she was pregnant with his kid
And in the car they found a tape
But it didn't say who it was to?
Come to think about it
His name was, it was you! Damn!</p>
]",stan,The Marshall Mathers LP,6460,2000.0
6,"
I'll be

The way you shake it
I can't believe it
I ain't never seen a ass like that
The way you move it
You make my pee pee go
Da-doing doing doing

I don't believe it
It's almost too good to be true
I ain't never seen a ass like that
The way you move it
You make my pee pee go
Da-doing doing doing

The way she moves she's like a belly dancer
She's shakin' that ass to the new Nelly Jams
I think someone's at the door, but I don't think I'ma answer
Police saying freeze, da-doing doing doing

What do you mean freeze? Please I'm a human being
I have needs, I'm not done not till I'm finished peeing
I am not resisting arrest, I am agreeing
Mister officer, I'm already on my knees
I can't get on the ground any further it's impossible for me
And do not treat me like a murderer
I just like to pee, pee, pee

Yes I make R 'n' B
I sing song that go ringy chong
Ching chong chong chong ching
Psyche, I joke, I joke, I kid, I kid
If I offend, I'm sorry please, please forgive
For I am triumph the puppet dog, I am a mere puppet
I can get away with anything I say and you will love it

The way you shake it
I can't believe it
I ain't never seen a ass like that
The way you move it
You make my pee pee go
Da-doing doing doing

Jessica Simpson
Looks oh so temptin'
Nick I ain't never seen a ass like that
Every time I see the show on MTV
My pee pee goes
Da-doing doing doing

Mary Kate and Ashley used to be so wholesome
Now they gettin' older, they startin' to grow bum-bums
I go to the movies and sit down with my popcorn
Police saying freeze, da-doing doing doing

What do you mean freeze? Jeez, I just got my seat
I have ticket, look I put it away my zipper zipped
Please do not remove me from this movie theater please
I did not even get to see Mary Kate's shower scene
I didn't mean to be obscene or make a great big scene
And don't treat me like I'm Pee Wee Herman
This movie is P.G. mister officer, I demand to see my attorney

I will simply plead innocent, cop a plea and be free
Free, yes, free, right back on the streets
What you mean my lawyer is with Michael?
He's too busy, I'm triumph
Britney spears has shoulders like a man
And I can say that and you laugh
'Cos there's a puppet on my hand

The way you shake it
I can't believe it
I ain't never seen a ass like that
The way you move it
You make my pee pee go
Da-doing doing doing

Hilary Duff is
Not quite old enough so
I ain't never seen a butt like that
Maybe next year I'll say ass
And she'll make my pee pee go
Da-doing doing doing

The way she moves she dances like a gogo
In that video she sings 'Get out' you bozo
I need a new boyfriend, 'Hi my name is Jojo'
Police saying freeze, da-doing doing doing

What do you mean freeze?
My computers will be seized
And my keys to my ranch, I just baked cookies
Mister officer, lookie, take a whiff of these
Here, I make Jesus juice, take a sip of this
Nobody is safe from me, no not even me

I don't even know if I can say the word pee-pee
Pee, on the radio, but I think I did
Janet, is that a breast? I think I just saw a tit
Psyche, I joke, I joke, I kid, I kid
I don't think my joke is working, I must flee
Quick get to the chopper, everybody get down
I'm not Triumph, I'm Arnold get down

The way you shake it
I can't believe it
I ain't never seen a ass like that
The way you move it
You make my pee pee go
Da-doing doing doing

So Gwen Stefani
Will you pee-pee on me please?
I ain't never seen a ass like that
'Cos the way you move it
You make my pee-pee go
Da-doing doing doing

Fuck is wrong with you</p>
]",ass like that,Encore,3521,2004.0
7,"
Yeah, I know sometimes
Things may not always make sense to you right now
But hey, what daddy always tell you? Straighten up, little soldier
Stiffen up that upper lip, what you cryin' about? You got me

Hailie I know you miss your mom and I know you miss your dad
When I'm gone but I'm tryin' to give you the life that I never had
I can see you're sad, even when you smile, even when you laugh
I can see it in your eyes, deep inside you wanna cry

'Cause you're scared, I ain't there, daddy's with you in your prayers
No more cryin', wipe them tears, daddy's here no more nightmares
We gon' pull together through it, we gon' do it Laney
Uncle's crazy ain't he yeah but he loves you girl and you better know it

We're all we got it this world, when it spins, when it swirls
When it whirls, when it twirls, two little beautiful girls
Lookin' puzzled, in a daze, I know it's confusin' you
Daddy's always on the move, mama's always on the news

I try to keep up sheltered from it but somehow it seems
The harder that I try to do that, the more it backfires on me
All the things growin' up as Daddy that he had to see
Daddy don't want you to see but you see just as much as he did

We did not plan it to be this way, your mother and me
But things have got so bad between us, I don't see us ever
Bein' together ever again, like we used to be when we was teenagers
But then of course everything always happens for a reason

I guess it was never meant to be but it's just somethin'
That we have no control over and that's what destiny is
But no more worries, rest your head and go to sleep
Maybe one day we'll wake up and this'll all just be a dream

Now hush little baby, don't you cry
Everything's gonna be alright
Stiffen that upper lip up, little lady, I told ya
Daddy's here to hold you through the night

I know mommy's not here right now
And we don't know why, we feel how we feel inside
It may seem a little crazy, pretty baby
But I promise, momma's gon' be alright

Heh, it's funny, I remember back one year
When daddy had no money
Mommy wrapped the Christmas presents up
And stuck 'em under the tree

And said some of 'em were from me
'Cause daddy couldn't buy 'em
I'll never forget that Christmas
I sat up the whole night cryin'

'Cause daddy felt like a bum, see daddy had a job
But his job was to keep the food on the table for you and mom
And at the time, every house that we lived in
Either kept gettin' broken into and robbed or shot up on the block

And your mom, was savin' money for you in a jar
Tryin' to start a piggy bank for you so you could go to college
Almost had a thousand dollars, 'til someone broke in and stole it
And I know it hurt so bad, it broke your momma's heart

And it seemed like everything was just startin' to fall apart
Mom and dad was arguin' a lot, so momma moved back
On the Chalmers in the flat, one bedroom apartment
And dad moved back to the other side of 8 Mile on Novara

And that's when daddy went to California with his CD
And met Dr. Dre and flew you and momma out to see me
But daddy had to work, you and momma had to leave me
Then you started seein' daddy on the TV

And momma didn't like it and you and Laney were too young
To understand that papa was a rollin' stone, momma developed a habit
And it all happened too fast for either one of us to grab it
I'm just sorry, you were there and had to witness it first hand

'Cause all I ever wanted to do was just make you proud
Now I'm sittin' in this empty house, just reminiscin', lookin'
At your baby pictures, it just trips me out to see how much
You both have grown, it's almost like you're sisters now

Wow, guess you pretty much are and daddy's still here
Laney, I'm talkin' to you too, daddy's still here
I like the sound of that, yeah, it's got a ring to it don't it?
Shh, momma's only gone for the moment

Now hush little baby, don't you cry
Everything's gonna be alright
Stiffen that upper lip up little lady, I told ya
Daddy's here to hold you through the night

I know mommy's not here right now
And we don't know why, we feel how we feel inside
It may seem a little crazy, pretty baby
But I promise, momma's gon' be alright

And if you ask me to
Daddy's gonna buy you a mockingbird, I'ma give you the world
I'ma buy a diamond ring for you, I'ma sing for you
I'll do anything for you to see you smile

And if that mockingbird don't sing
And that ring don't shine, I'ma break that birdie's neck
I'd go back to the jeweler who sold it to ya
And make him eat every carat, don't fuck with dad, ha ha</p>
]",mockingbird,Encore,4509,2004.0
8,"
Em, it's Paul, listen
Joel just called me and he told me
You're in the fucking back behind his studio
Shooting your gun off in the air like it's a shooting range

I told you not to fucking bring your gun around like an idiot
Outside of your home, you're gonna get yourself in trouble
Don't bring your gun outside of your home, you can't carry it on you
Leave your fucking gun at home</p>
]",paul rosenberg skit,The Eminem Show,390,2002.0
9,"
Who came through with two Glocks to terrorize your borough
Told you how to slap dips and murder your girl
Gave you all the finger and told you to sit and twirl
Sold a billion tapes and still screamed fuck the world

So come and kill me while my name's hot
And shoot me twenty five times in the same spot
Think I've got a generation brainwashed
To pop pills and smoke pot till they brains rot

Stop they blood flow 'til they veins clot
I need a pain shot, and a shot of plain scotch
Purple haze and acid raindrops
Spike the punch at the party and drain pop

Shaved my armpits and wore a tank top
Bad Boy, I told you that I can't stop
Gotta make 'em fear you before you make 'em feel you
So everybody buy my shit or I'ma come and kill you

I got mushrooms, I got acid, I got tabs and aspirin tablets
I'm your brother when you need some new weed to set you free
You know me, I'm your friend when you need a mini thin, Slim Shady
I'm Shady

I like happy things, I'm really calm and peaceful
I like birds, bees, I like people
I like funny things that make me happy and gleeful
Like when my teacher sucked my wee-wee in preschool

The ill type, I stab myself with a steel spike
While I blow my brain out, took a see what it feels like
And this is how I am in real life
I don't want to just die a normal death, I wanna be killed twice

How you wanna scare somebody with a gun threat
When they're high off of drugs they haven't even done yet
So bring the money by tonight
'Cause your wife says this is the biggest knife she ever saw in her life

I try to keep it positive and play it cool
Shoot up the playground and tell the kids to stay in school
'Cause I'm the one they can relate to and look up to better
Tonight I think I'll write my biggest fan a 'Fuck you' letter

I got mushrooms, I got acid, I got tabs and aspirin tablets
I'm your brother when you need some new weed to set you free
You know me, I'm your friend when you need a mini thin, Slim Shady
I'm Shady

Yo, I listen to your demo tape and act like I don't like it
Six months later you hear your lyrics on my shit
People don't buy shit no more they just dub it
That's why I'm still broke and had the number one club hit

But they love it when you make your business public
So fuck it, I've got herpes while we're on the subject
And if I told you I had AIDS y'all would play it
'Cause you stupid motherfuckers think I'm playin' when I say it

I do take pills, don't do speed
Don't do crack, don't do coke, I do smoke weed
Don't do smack, I do do shrooms
Do drink beer, I just wanna make a few things clear

My baby mama's not dead, she's still alive and bitchin'
And I don't have herpes, my dick's just itchin'
It's not syphilis, and as for bein' AIDS infested
I don't know yet, I'm too scared to get tested

I got mushrooms, I got acid, I got tabs and aspirin tablets
I'm your brother when you need some new weed to set you free
You know me, I'm your friend when you need a mini thin, Slim Shady
I'm Shady

I told you I was Shady, yo, y'all didn't wanna believe me
I'm Shady and that's my name</p>
]",i m shady,The Slim Shady LP,3058,
