,fiat_reserve,investors_money,overhead_cost,product_cost,revenue,run,substep,time,timestep,tx_volume
0,0.0,10000.0,10000.0,0.3,0.0,1,0,2018-01-01 00:00:00,0,10.0
1,0.0,9700.0,10010.0,0.20650246437889758,0.0,1,1,2018-01-02 00:00:00,1,10.447365340563534
2,26.118413351408837,9700.0,10010.0,0.20650246437889758,26.118413351408837,1,2,2018-01-02 00:00:00,1,10.447365340563534
3,9726.118413351409,9700.0,10010.0,0.20650246437889758,26.118413351408837,1,3,2018-01-02 00:00:00,1,10.447365340563534
4,-283.8815866485911,9700.0,10010.0,0.20650246437889758,26.118413351408837,1,4,2018-01-02 00:00:00,1,10.447365340563534
5,-283.8815866485911,9409.0,10020.0,0.16689338161622103,26.118413351408837,1,1,2018-01-03 00:00:00,2,10.810770895491489
6,-256.8546594098624,9409.0,10020.0,0.16689338161622103,53.14534059013756,1,2,2018-01-03 00:00:00,2,10.810770895491489
7,9152.145340590137,9409.0,10020.0,0.16689338161622103,53.14534059013756,1,3,2018-01-03 00:00:00,2,10.810770895491489
8,-867.8546594098625,9409.0,10020.0,0.16689338161622103,53.14534059013756,1,4,2018-01-03 00:00:00,2,10.810770895491489
9,-867.8546594098625,9126.73,10030.0,0.23554429403143518,53.14534059013756,1,1,2018-01-04 00:00:00,3,11.234724720010854
10,-839.7678476098354,9126.73,10030.0,0.23554429403143518,81.23215239016469,1,2,2018-01-04 00:00:00,3,11.234724720010854
11,8286.962152390164,9126.73,10030.0,0.23554429403143518,81.23215239016469,1,3,2018-01-04 00:00:00,3,11.234724720010854
12,-1743.0378476098358,9126.73,10030.0,0.23554429403143518,81.23215239016469,1,4,2018-01-04 00:00:00,3,11.234724720010854
13,-1743.0378476098358,8852.9281,10040.0,0.2822459257837616,81.23215239016469,1,1,2018-01-05 00:00:00,4,11.56278400692799
14,-1714.1308875925158,8852.9281,10040.0,0.2822459257837616,110.13911240748466,1,2,2018-01-05 00:00:00,4,11.56278400692799
15,7138.797212407483,8852.9281,10040.0,0.2822459257837616,110.13911240748466,1,3,2018-01-05 00:00:00,4,11.56278400692799
16,-2901.202787592517,8852.9281,10040.0,0.2822459257837616,110.13911240748466,1,4,2018-01-05 00:00:00,4,11.56278400692799
17,-2901.202787592517,8587.340257,10050.0,0.31649798436369975,110.13911240748466,1,1,2018-01-06 00:00:00,5,12.025707364737212
18,-2871.138519180674,8587.340257,10050.0,0.31649798436369975,140.2033808193277,1,2,2018-01-06 00:00:00,5,12.025707364737212
19,5716.201737819326,8587.340257,10050.0,0.31649798436369975,140.2033808193277,1,3,2018-01-06 00:00:00,5,12.025707364737212
20,-4333.798262180674,8587.340257,10050.0,0.31649798436369975,140.2033808193277,1,4,2018-01-06 00:00:00,5,12.025707364737212
21,-4333.798262180674,8329.72004929,10060.0,0.28444552875231555,140.2033808193277,1,1,2018-01-07 00:00:00,6,12.345057455667462
